precision,recall,f1-score,support,source
0.7151898734177216,0.4362934362934363,0.5419664268585133,259.0,mimic
0.2692307692307692,0.0880503144654088,0.13270142180094788,159.0,mimic
0.15384615384615385,0.01639344262295082,0.029629629629629634,122.0,mimic
0.47191011235955055,0.28,0.35146443514644354,150.0,mimic
0.0,0.0,0.0,42.0,mimic
0.0,0.0,0.0,29.0,mimic
0.0,0.0,0.0,36.0,mimic
0.15625,0.07042253521126761,0.0970873786407767,71.0,mimic
0.7013888888888888,0.27445652173913043,0.39453125,368.0,mimic
0.5618661257606491,0.22411003236245955,0.32041642567958356,1236.0,mimic
0.2742017553047871,0.12951291670357712,0.17193117134181232,1236.0,mimic
0.4747592866158225,0.22411003236245955,0.2992589114829952,1236.0,mimic
0.24828828828828828,0.231509009009009,0.2359009009009009,1236.0,mimic
0.65625,0.3387096774193548,0.44680851063829785,124.0,pad
0.0,0.0,0.0,16.0,pad
0.0,0.0,0.0,30.0,pad
0.2,0.043478260869565216,0.07142857142857142,23.0,pad
0.0,0.0,0.0,19.0,pad
0.0,0.0,0.0,0.0,pad
0.0,0.0,0.0,3.0,pad
0.0,0.0,0.0,3.0,pad
0.4166666666666667,0.06578947368421052,0.11363636363636363,76.0,pad
0.5333333333333333,0.16326530612244897,0.25,294.0,pad
0.1414351851851852,0.04977526799701451,0.07020816063369255,294.0,pad
0.40014172335600906,0.16326530612244897,0.22341318400806023,294.0,pad
0.13567073170731708,0.13719512195121952,0.13617886178861788,294.0,pad
0.0,0.0,0.0,60.0,cxp
0.0,0.0,0.0,97.0,cxp
0.0,0.0,0.0,74.0,cxp
0.6310160427807486,0.4609375,0.5327313769751694,256.0,cxp
0.0,0.0,0.0,12.0,cxp
0.0,0.0,0.0,55.0,cxp
0.0,0.0,0.0,43.0,cxp
0.4322033898305085,0.35664335664335667,0.39080459770114945,143.0,cxp
0.8362068965517241,0.43792325056433407,0.5748148148148148,443.0,cxp
0.6636197440585009,0.30684699915469144,0.41965317919075135,1183.0,cxp
0.21104736990699793,0.13950045635641006,0.1664834210545704,1183.0,cxp
0.5019314005663974,0.30684699915469144,0.3777745164326886,1183.0,cxp
